Episodio: 58, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9891661084994668, Recompensa: 120.00
Episodio: 59, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9891156622890981, Recompensa: 252.00
Episodio: 60, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9890573061573663, Recompensa: 397.00
Episodio: 61, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9889940084836685, Recompensa: 267.00
Episodio: 62, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9889663170252669, Recompensa: 144.00
Episodio: 63, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9889415931640282, Recompensa: 151.00
Episodio: 64, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9888881917331467, Recompensa: 256.00
Episodio: 65, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9888476481281625, Recompensa: 260.00
Episodio: 66, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9885668551301827, Recompensa: 705.00
Episodio: 67, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9885421412553717, Recompensa: 153.00
Episodio: 68, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9883108493408744, Recompensa: 815.00
Episodio: 69, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9872134451594254, Recompensa: 294.00
Episodio: 70, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9871700087017277, Recompensa: 272.00
Episodio: 71, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9870614259186383, Recompensa: 469.00
Episodio: 72, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9870209572095543, Recompensa: 271.00
Episodio: 73, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.986988386039107, Recompensa: 273.00
Episodio: 74, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9868926527609307, Recompensa: 251.00
Episodio: 75, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9868364014547729, Recompensa: 288.00
Episodio: 76, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9853523289731682, Recompensa: 847.00
Episodio: 77, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9851828628623502, Recompensa: 651.00
Episodio: 78, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9851139024411105, Recompensa: 262.00
Episodio: 79, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9850833643682078, Recompensa: 137.00
Episodio: 80, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9836019282243962, Recompensa: 173.00
Episodio: 81, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9835675027421438, Recompensa: 269.00
Episodio: 82, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9835350455338706, Recompensa: 135.00
Episodio: 83, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9834632500602135, Recompensa: 367.00
Episodio: 84, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9833432748023542, Recompensa: 467.00
Episodio: 85, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9831780869257577, Recompensa: 652.00
Episodio: 86, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.983066010956258, Recompensa: 480.00
Episodio: 87, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9830099777625763, Recompensa: 260.00
Episodio: 88, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9829677092211769, Recompensa: 272.00
Episodio: 89, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9829362547420281, Recompensa: 138.00
Episodio: 90, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9829077499897083, Recompensa: 146.00
Episodio: 91, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9818467821149836, Recompensa: 1233.00
Episodio: 92, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9817908184154002, Recompensa: 404.00
Episodio: 93, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9817643104079081, Recompensa: 146.00
