Episodio: 62, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9782, Recompensa: 488.00
Episodio: 63, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9782, Recompensa: 495.00
Episodio: 64, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9781, Recompensa: 557.90
Episodio: 65, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9742, Recompensa: -13272.20
Episodio: 66, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9741, Recompensa: 572.00
Episodio: 67, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9740, Recompensa: 541.00
Episodio: 68, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9737, Recompensa: 858.10
Episodio: 69, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9736, Recompensa: 587.00
Episodio: 70, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9720, Recompensa: -1036.60
Episodio: 71, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9719, Recompensa: 593.00
Episodio: 72, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9716, Recompensa: 1242.20
Episodio: 73, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9714, Recompensa: 1277.90
Episodio: 74, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9713, Recompensa: 437.80
Episodio: 75, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9710, Recompensa: 457.90
Episodio: 76, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9709, Recompensa: 564.00
Episodio: 77, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9708, Recompensa: 697.90
Episodio: 78, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9707, Recompensa: 484.90
Episodio: 79, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9704, Recompensa: 782.20
Episodio: 80, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9702, Recompensa: 728.90
Episodio: 81, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9691, Recompensa: -689.60
