Episodio: 30060, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30061, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1126.00
Episodio: 30062, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 642.00
Episodio: 30063, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1575.60
Episodio: 30064, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 561.90
Episodio: 30065, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1677.00
Episodio: 30066, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2171.40
Episodio: 30067, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 3066.00
Episodio: 30068, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 516.40
Episodio: 30069, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1586.00
Episodio: 30070, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 999.00
Episodio: 30071, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1021.30
Episodio: 30072, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 636.00
Episodio: 30073, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1208.20
Episodio: 30074, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -438.20
Episodio: 30075, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 376.30
Episodio: 30076, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 447.00
Episodio: 30077, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 660.30
Episodio: 30078, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2832.80
Episodio: 30079, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1189.20
Episodio: 30080, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 475.60
Episodio: 30081, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 977.60
Episodio: 30082, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -11751.70
Episodio: 30083, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 730.00
Episodio: 30084, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 451.00
Episodio: 30085, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 493.50
Episodio: 30086, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 393.20
Episodio: 30087, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 625.00
Episodio: 30088, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 497.00
Episodio: 30089, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1374.90
Episodio: 30090, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 479.40
Episodio: 30091, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 613.00
Episodio: 30092, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -10487.90
Episodio: 30093, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1292.40
Episodio: 30094, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30095, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 539.00
Episodio: 30096, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30097, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 907.00
Episodio: 30098, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1839.60
Episodio: 30099, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1160.00
Episodio: 30100, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30101, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30102, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1867.50
Episodio: 30103, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 608.50
Episodio: 30104, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1045.00
Episodio: 30105, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 482.90
Episodio: 30106, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 768.70
Episodio: 30107, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30108, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 561.40
Episodio: 30109, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1335.00
Episodio: 30110, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 452.00
Episodio: 30111, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1051.90
Episodio: 30112, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 456.00
Episodio: 30113, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2052.80
Episodio: 30114, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 417.00
Episodio: 30115, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 970.40
Episodio: 30116, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1331.30
Episodio: 30117, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 625.00
Episodio: 30118, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 487.00
Episodio: 30119, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 944.00
Episodio: 30120, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 722.00
Episodio: 30121, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 656.00
Episodio: 30122, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 972.00
Episodio: 30123, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 533.90
Episodio: 30124, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 994.00
Episodio: 30125, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30126, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 665.00
Episodio: 30127, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2016.90
Episodio: 30128, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 731.20
Episodio: 30129, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 500.00
Episodio: 30130, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1828.00
Episodio: 30131, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 469.00
Episodio: 30132, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1006.00
Episodio: 30133, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -6019.60
Episodio: 30134, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1144.00
Episodio: 30135, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 972.00
Episodio: 30136, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1183.00
Episodio: 30137, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 454.00
Episodio: 30138, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 712.20
Episodio: 30139, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1530.00
Episodio: 30140, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2131.80
Episodio: 30141, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -470.60
Episodio: 30142, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 737.90
Episodio: 30143, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 629.00
Episodio: 30144, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 457.00
Episodio: 30145, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 454.00
Episodio: 30146, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2179.20
Episodio: 30147, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1153.00
Episodio: 30148, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 618.00
Episodio: 30149, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 980.00
