Episodio: 111, Reward: 644.00, Epsilon: 0.9448
Episodio: 112, Reward: 985.00, Epsilon: 0.9440
Episodio: 113, Reward: 944.00, Epsilon: 0.9428
Episodio: 114, Reward: 960.00, Epsilon: 0.9407
Episodio: 115, Reward: 743.00, Epsilon: 0.9401
Episodio: 116, Reward: 206.00, Epsilon: 0.9400
Episodio: 117, Reward: 797.00, Epsilon: 0.9375
Episodio: 118, Reward: 1597.00, Epsilon: 0.9364
Episodio: 119, Reward: 608.00, Epsilon: 0.9360
Episodio: 120, Reward: 769.00, Epsilon: 0.9356
Episodio: 121, Reward: 788.00, Epsilon: 0.9352
Episodio: 122, Reward: 768.00, Epsilon: 0.9324
Episodio: 123, Reward: 239.00, Epsilon: 0.9323
Episodio: 124, Reward: 221.00, Epsilon: 0.9322
Episodio: 125, Reward: 246.00, Epsilon: 0.9321
Episodio: 126, Reward: 218.00, Epsilon: 0.9320
Episodio: 127, Reward: 624.00, Epsilon: 0.9309
Episodio: 128, Reward: 224.00, Epsilon: 0.9308
Episodio: 129, Reward: 242.00, Epsilon: 0.9307
Episodio: 130, Reward: 605.00, Epsilon: 0.9305
Episodio: 131, Reward: 630.00, Epsilon: 0.9301
Episodio: 132, Reward: 215.00, Epsilon: 0.9301
Episodio: 133, Reward: 245.00, Epsilon: 0.9300
Episodio: 134, Reward: 689.00, Epsilon: 0.9292
Episodio: 135, Reward: 235.00, Epsilon: 0.9291
Episodio: 136, Reward: 780.00, Epsilon: 0.9285
Episodio: 137, Reward: 227.00, Epsilon: 0.9284
Episodio: 138, Reward: 678.00, Epsilon: 0.9275
Episodio: 139, Reward: 238.00, Epsilon: 0.9274
Episodio: 140, Reward: 1008.00, Epsilon: 0.9268
Episodio: 141, Reward: 688.00, Epsilon: 0.9261
Episodio: 142, Reward: 1123.00, Epsilon: 0.9238
Episodio: 143, Reward: 594.00, Epsilon: 0.9235
Episodio: 144, Reward: 625.00, Epsilon: 0.9233
Episodio: 145, Reward: 1096.00, Epsilon: 0.9206
Episodio: 146, Reward: 629.00, Epsilon: 0.9203
Episodio: 147, Reward: 790.00, Epsilon: 0.9198
Episodio: 148, Reward: 899.00, Epsilon: 0.9183
Episodio: 149, Reward: 246.00, Epsilon: 0.9182
Episodio: 150, Reward: 227.00, Epsilon: 0.9181
Episodio: 151, Reward: 760.00, Epsilon: 0.9173
Episodio: 152, Reward: 640.00, Epsilon: 0.9171
Episodio: 153, Reward: 854.00, Epsilon: 0.9151
Episodio: 154, Reward: 612.00, Epsilon: 0.9149
Episodio: 155, Reward: 747.00, Epsilon: 0.9145
Episodio: 156, Reward: 223.00, Epsilon: 0.9144
Episodio: 157, Reward: 596.00, Epsilon: 0.9142
Episodio: 158, Reward: 605.00, Epsilon: 0.9139
Episodio: 159, Reward: 723.00, Epsilon: 0.9135
Episodio: 160, Reward: 633.00, Epsilon: 0.9132
Episodio: 161, Reward: 606.00, Epsilon: 0.9128
Episodio: 162, Reward: 743.00, Epsilon: 0.9123
Episodio: 163, Reward: 218.00, Epsilon: 0.9122
Episodio: 164, Reward: 610.00, Epsilon: 0.9120
Episodio: 165, Reward: 1181.00, Epsilon: 0.9102
Episodio: 166, Reward: 1371.00, Epsilon: 0.9094
Episodio: 167, Reward: 236.00, Epsilon: 0.9093
Episodio: 168, Reward: 225.00, Epsilon: 0.9093
Episodio: 169, Reward: 218.00, Epsilon: 0.9091
Episodio: 170, Reward: 195.00, Epsilon: 0.9090
Episodio: 171, Reward: 233.00, Epsilon: 0.9089
Episodio: 172, Reward: 230.00, Epsilon: 0.9089
Episodio: 173, Reward: 670.00, Epsilon: 0.9082
Episodio: 174, Reward: 1023.00, Epsilon: 0.9052
Episodio: 175, Reward: 246.00, Epsilon: 0.9051
Episodio: 176, Reward: 235.00, Epsilon: 0.9051
Episodio: 177, Reward: 754.00, Epsilon: 0.9047
Episodio: 178, Reward: 630.00, Epsilon: 0.9045
Episodio: 179, Reward: 776.00, Epsilon: 0.9039
Episodio: 180, Reward: 242.00, Epsilon: 0.9039
Episodio: 181, Reward: 681.00, Epsilon: 0.9034
Episodio: 182, Reward: 578.00, Epsilon: 0.9030
Episodio: 183, Reward: 981.00, Epsilon: 0.9023
Episodio: 184, Reward: 227.00, Epsilon: 0.9022
Episodio: 185, Reward: 234.00, Epsilon: 0.9021
Episodio: 186, Reward: 743.00, Epsilon: 0.9015
Episodio: 187, Reward: 640.00, Epsilon: 0.9005
Episodio: 188, Reward: 225.00, Epsilon: 0.9004
Episodio: 189, Reward: 230.00, Epsilon: 0.9003
Episodio: 190, Reward: 749.00, Epsilon: 0.8995
Episodio: 191, Reward: 231.00, Epsilon: 0.8994
Episodio: 192, Reward: 238.00, Epsilon: 0.8993
Episodio: 193, Reward: 601.00, Epsilon: 0.8991
Episodio: 194, Reward: 630.00, Epsilon: 0.8989
Episodio: 195, Reward: 698.00, Epsilon: 0.8983
Episodio: 196, Reward: 654.00, Epsilon: 0.8973
Episodio: 197, Reward: 662.00, Epsilon: 0.8959
Episodio: 198, Reward: 629.00, Epsilon: 0.8948
Episodio: 199, Reward: 232.00, Epsilon: 0.8947
Episodio: 200, Reward: 629.00, Epsilon: 0.8945
Episodio: 201, Reward: 636.00, Epsilon: 0.8942
Episodio: 202, Reward: 581.00, Epsilon: 0.8939
Episodio: 203, Reward: 236.00, Epsilon: 0.8938
Episodio: 204, Reward: 238.00, Epsilon: 0.8938
Episodio: 205, Reward: 635.00, Epsilon: 0.8935
Episodio: 206, Reward: 767.00, Epsilon: 0.8907
Episodio: 207, Reward: 691.00, Epsilon: 0.8899
Episodio: 208, Reward: 736.00, Epsilon: 0.8896
Episodio: 209, Reward: 212.00, Epsilon: 0.8895
Episodio: 210, Reward: 230.00, Epsilon: 0.8894
Episodio: 211, Reward: 600.00, Epsilon: 0.8879
Episodio: 212, Reward: 231.00, Epsilon: 0.8878
Episodio: 213, Reward: 933.00, Epsilon: 0.8866
Episodio: 214, Reward: 764.00, Epsilon: 0.8838
Episodio: 215, Reward: 637.00, Epsilon: 0.8835
Episodio: 216, Reward: 222.00, Epsilon: 0.8834
Episodio: 217, Reward: 221.00, Epsilon: 0.8834
Episodio: 218, Reward: 216.00, Epsilon: 0.8833
Episodio: 219, Reward: 1235.00, Epsilon: 0.8821
Episodio: 220, Reward: 1238.00, Epsilon: 0.8810
Episodio: 221, Reward: 698.00, Epsilon: 0.8805
Episodio: 222, Reward: 249.00, Epsilon: 0.8804
Episodio: 223, Reward: 1127.00, Epsilon: 0.8784
Episodio: 224, Reward: 234.00, Epsilon: 0.8783
Episodio: 225, Reward: 1686.00, Epsilon: 0.8759
Episodio: 226, Reward: 239.00, Epsilon: 0.8758
Episodio: 227, Reward: 577.00, Epsilon: 0.8742
Episodio: 228, Reward: 249.00, Epsilon: 0.8742
Episodio: 229, Reward: 219.00, Epsilon: 0.8741
Episodio: 230, Reward: 607.00, Epsilon: 0.8739
Episodio: 231, Reward: 763.00, Epsilon: 0.8736
Episodio: 232, Reward: 214.00, Epsilon: 0.8735
Episodio: 233, Reward: 229.00, Epsilon: 0.8734
Episodio: 234, Reward: 719.00, Epsilon: 0.8730
Episodio: 235, Reward: 1282.00, Epsilon: 0.8722
Episodio: 236, Reward: 853.00, Epsilon: 0.8703
Episodio: 237, Reward: 207.00, Epsilon: 0.8702
Episodio: 238, Reward: 234.00, Epsilon: 0.8702
Episodio: 239, Reward: 236.00, Epsilon: 0.8701
Episodio: 240, Reward: 982.00, Epsilon: 0.8692
Episodio: 241, Reward: 624.00, Epsilon: 0.8689
Episodio: 242, Reward: 195.00, Epsilon: 0.8688
Episodio: 243, Reward: 638.00, Epsilon: 0.8685
Episodio: 244, Reward: 632.00, Epsilon: 0.8667
Episodio: 245, Reward: 610.00, Epsilon: 0.8665
Episodio: 246, Reward: 243.00, Epsilon: 0.8665
Episodio: 247, Reward: 242.00, Epsilon: 0.8664
Episodio: 248, Reward: 443.00, Epsilon: 0.8629
Episodio: 249, Reward: 1011.00, Epsilon: 0.8624
Episodio: 250, Reward: 222.00, Epsilon: 0.8623
Episodio: 251, Reward: 609.00, Epsilon: 0.8618
Episodio: 252, Reward: 193.00, Epsilon: 0.8617
Episodio: 253, Reward: 606.00, Epsilon: 0.8615
Episodio: 254, Reward: 1484.00, Epsilon: 0.8595
Episodio: 255, Reward: 236.00, Epsilon: 0.8594
Episodio: 256, Reward: 599.00, Epsilon: 0.8592
Episodio: 257, Reward: 778.00, Epsilon: 0.8587
Episodio: 258, Reward: 222.00, Epsilon: 0.8586
Episodio: 259, Reward: 1289.00, Epsilon: 0.8580
Episodio: 260, Reward: 743.00, Epsilon: 0.8577
Episodio: 261, Reward: 628.00, Epsilon: 0.8575
Episodio: 262, Reward: 577.00, Epsilon: 0.8572
Episodio: 263, Reward: 581.00, Epsilon: 0.8570
Episodio: 264, Reward: 634.00, Epsilon: 0.8567
