Episodio: 34057, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5486982764046391, Recompensa: 255.40
Episodio: 34058, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5486521109747302, Recompensa: -3650.60
Episodio: 34059, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5486468411954996, Recompensa: 606.00
Episodio: 34060, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5486308213774591, Recompensa: -798.10
Episodio: 34061, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5486274488437917, Recompensa: 219.40
Episodio: 34062, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5486242871123069, Recompensa: 336.00
Episodio: 34063, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5486215469597588, Recompensa: 344.00
Episodio: 34064, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5486013124107887, Recompensa: -202.40
Episodio: 34065, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5485970969736896, Recompensa: 526.90
Episodio: 34066, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.548456109264275, Recompensa: -6956.50
Episodio: 34067, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5484497877943754, Recompensa: 617.70
Episodio: 34068, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5484464163735543, Recompensa: 211.40
Episodio: 34069, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5483054673885737, Recompensa: -6284.70
Episodio: 34070, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5482949345396889, Recompensa: -832.90
Episodio: 34071, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5482726055692084, Recompensa: -1063.00
Episodio: 34072, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5482671287907988, Recompensa: 556.00
Episodio: 34073, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5482620733515934, Recompensa: 673.00
Episodio: 34074, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5482506987838173, Recompensa: -870.50
Episodio: 34075, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5482483817711648, Recompensa: 279.00
Episodio: 34076, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5482298460224588, Recompensa: -101.10
Episodio: 34077, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5482268972111269, Recompensa: 227.00
Episodio: 34078, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5482188933746066, Recompensa: 580.70
Episodio: 34079, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5481386508410311, Recompensa: -7601.50
Episodio: 34080, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5481359131140363, Recompensa: 241.00
Episodio: 34081, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.548130227109354, Recompensa: 616.70
