Episodio: 60057, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38356209037899813, Recompensa: 547.10
Episodio: 60058, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38355987991661594, Recompensa: 252.90
Episodio: 60059, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38355236443980245, Recompensa: -295.80
Episodio: 60060, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38353880748149866, Recompensa: 938.60
Episodio: 60061, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3835304083020927, Recompensa: 676.70
Episodio: 60062, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38352893478081135, Recompensa: 240.00
Episodio: 60063, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3835249563016299, Recompensa: 638.00
Episodio: 60064, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38352083051495883, Recompensa: 633.00
Episodio: 60065, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3835175888565679, Recompensa: 555.00
Episodio: 60066, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3834909198889031, Recompensa: -5228.90
Episodio: 60067, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38348428977042914, Recompensa: 845.50
Episodio: 60068, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38348222709028223, Recompensa: 224.00
Episodio: 60069, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38347942775640026, Recompensa: 214.70
Episodio: 60070, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3834775124344654, Recompensa: 260.70
Episodio: 60071, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.383472355846035, Recompensa: 475.00
Episodio: 60072, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3834707352182778, Recompensa: 226.00
Episodio: 60073, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38346778863990283, Recompensa: 130.90
Episodio: 60074, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3834621902033674, Recompensa: 472.80
Episodio: 60075, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38345806509190544, Recompensa: 651.00
Episodio: 60076, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38345600255281553, Recompensa: 233.00
Episodio: 60077, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3834539400248196, Recompensa: 295.20
Episodio: 60078, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3834520248301854, Recompensa: 355.00
Episodio: 60079, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38344716322522826, Recompensa: 415.00
Episodio: 60080, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3834453953841624, Recompensa: 217.70
Episodio: 60081, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38344348023220526, Recompensa: 366.00
Episodio: 60082, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38343788215056035, Recompensa: 213.90
Episodio: 60083, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38343611435228386, Recompensa: 258.90
Episodio: 60084, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3834341992466816, Recompensa: 260.70
Episodio: 60085, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38341151333887447, Recompensa: -3709.10
Episodio: 60086, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3834042953769616, Recompensa: 121.40
Episodio: 60087, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3833973721534157, Recompensa: -54.20
Episodio: 60088, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38339530994078025, Recompensa: 241.90
Episodio: 60089, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3833933950389792, Recompensa: 371.00
Episodio: 60090, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3833894179657987, Recompensa: 268.10
